code,corp,title,reportDownload,reportOnline
300072,三聚环保,三聚环保：2017年社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-28/1204826638.PDF,https://www.jianweidata.com/Home/FilingDetail?key=dobjEf53lhRPdT04a2ggZxF5WtGkfEeMou17KMhVzc68rLxSSzkMnA==&sector=1
600660,福耀玻璃,福耀玻璃：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-17/1204485308.PDF,https://www.jianweidata.com/Home/FilingDetail?key=MU2eUjtxGFIWnoQ1sOw157FRsibTR3X/Gt8TS5UA//gmmIG7op4X1A==&sector=1
002304,洋河股份,洋河股份：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-27/1204802364.PDF,https://www.jianweidata.com/Home/FilingDetail?key=0VSkpW6jWZI36PUSkt7c+1QDyE+WDJh6Fcxxp/rVOtNXChtUSAT16g==&sector=1
600409,三友化工,三友化工：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-12/1204617189.PDF,https://www.jianweidata.com/Home/FilingDetail?key=2pNXGAsHsLzN+44csl991Vcp+JC4YDLWKnSOI7o3xMt0gLa88G3x5w==&sector=1
600973,宝胜股份,宝胜股份：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-31/1204553973.PDF,https://www.jianweidata.com/Home/FilingDetail?key=OeDH0z0WNSibyQuP1DYuhoUHn0vkwLUAbO/aFJaFsnUmSQ8F6xLmYA==&sector=1
601666,平煤股份,平煤股份：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-28/1204828490.PDF,https://www.jianweidata.com/Home/FilingDetail?key=L2iEkVoZKXf/CczAIpZCnFlNeh1fipKIOvLBFHnbx1nwCpNrlOucEg==&sector=1
000060,中金岭南,中金岭南：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-03/1204576993.PDF,https://www.jianweidata.com/Home/FilingDetail?key=uuzaTmSHAkIePHcm7sFSJcX9mMm3r4thXbW8l/1EeUGp8hdtIw2SMA==&sector=1
000021,深科技,深科技：2017年社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-12/1204616397.PDF,https://www.jianweidata.com/Home/FilingDetail?key=7k4UHSVYtgb77ErF+k2Em6oQNjSDgmXPkPpWaGzraGhzss7ti74G6A==&sector=1
600535,天士力,天士力：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-27/1204519069.PDF,https://www.jianweidata.com/Home/FilingDetail?key=3D1HDyQ21yTMf7C/NFK6utCLZ4zx0opcVgXdw/9z1pQ74owbvQ8Aiw==&sector=1
600141,兴发集团,兴发集团：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-31/1204558328.PDF,https://www.jianweidata.com/Home/FilingDetail?key=rNdoQtPGagSkTFgV8NrT8+nQ76Ncrh03J4Sau0Ut/lNqTxysP8+mew==&sector=1
002475,立讯精密,立讯精密：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-20/1204669078.PDF,https://www.jianweidata.com/Home/FilingDetail?key=S5lD/mSx46d0GzLdU6pRLATMVRyEB94RqumTExnsAiKIb/rmxu3xPw==&sector=1
600219,南山铝业,南山铝业：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-02-10/1204410355.PDF,https://www.jianweidata.com/Home/FilingDetail?key=wruQn6hNv0dCENs1+dgmLKekTbsTjf7elRCMvCUtfWuJnJnjmhDZsg==&sector=1
000401,冀东水泥,冀东水泥：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-23/1204506072.PDF,https://www.jianweidata.com/Home/FilingDetail?key=yxHDHhPmV6x3QBaClHzf6t6Sqe5x+gtsCKLYyf1xwIT9jVZYBbQbpA==&sector=1
600085,同仁堂,同仁堂：2017年度履行社会责任的报告,http://www.cninfo.com.cn/finalpage/2018-03-31/1204553373.PDF,https://www.jianweidata.com/Home/FilingDetail?key=Z9BP/f9nnksEkA/Aco0kQC/9Uh78QIm9MuB54FoINbV18t/cX4nlEg==&sector=1
600623,华谊集团,华谊集团：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-27/1204519020.PDF,https://www.jianweidata.com/Home/FilingDetail?key=U3EbC92TOgZJ1WblsnftMd5dJZ8Munu3i4OgzfXbo1zhOSrgc1/ckg==&sector=1
601005,重庆钢铁,重庆钢铁：2017年度环境及社会责任报告,http://www.cninfo.com.cn/finalpage/2018-02-28/1204436026.PDF,https://www.jianweidata.com/Home/FilingDetail?key=VoWHNdXKLgLY5OHGgoB/J8mkeqPLZJ2wWEeJ3QZn80pMrzAv0wsIJw==&sector=1
600507,方大特钢,方大特钢：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-02-09/1204406919.PDF,https://www.jianweidata.com/Home/FilingDetail?key=jP3/zX09VVAJGg1+hTi0v3AaV4JeF9OFP6xZkQF/Ica3F+bYCFdozg==&sector=1
000792,盐湖股份,盐湖股份：2017年社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-31/1204554617.PDF,https://www.jianweidata.com/Home/FilingDetail?key=TJYw7BBXGdGOH221dF3x64Vmu5cvQfuimxxWaKNDkFaqarlLlAlvEQ==&sector=1
000528,柳工,柳工：2017年度企业社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-03/1204576406.PDF,https://www.jianweidata.com/Home/FilingDetail?key=N5zIbEVVtesN0rigTK0iiJg3b5hRGVVlRmbaJZSKMoKfuNJK6lEOlA==&sector=1
600549,厦门钨业,厦门钨业：2017年度履行社会责任的报告,http://www.cninfo.com.cn/finalpage/2018-03-30/1204557569.PDF,https://www.jianweidata.com/Home/FilingDetail?key=40prZcFR7MbuB1L9RDAx7bQvuYlAHgN3gBdqEFfQ4o5dZ4XgeaJPzA==&sector=1
600267,海正药业,海正药业：2017年社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-27/1204519192.PDF,https://www.jianweidata.com/Home/FilingDetail?key=Etkegg7/9DJhBUMB3fgsXYTFFy0erIGZ0EHcOXqy8Hr8WAFN0mrxVg==&sector=1
000729,燕京啤酒,燕京啤酒：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-28/1204824679.PDF,https://www.jianweidata.com/Home/FilingDetail?key=rCn2NrAELUI7kVGDLd4oY6uzxheY+f566Q1zngA6/Fc0NTYO4jONHw==&sector=1
600997,开滦股份,开滦股份：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-03-17/1204484829.PDF,https://www.jianweidata.com/Home/FilingDetail?key=sjW8MPp6oWKD2PqHUmerPjb3PD/eIJJADCPMQqHd22LZYUJEaY9HOQ==&sector=1
000680,山推股份,山推股份：公司2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-17/1204642710.PDF,https://www.jianweidata.com/Home/FilingDetail?key=yxdMPQWTfGxs/yfonLqR0qSQJNqJ1F2+7FNj1RO49K6g2HO5bgChIA==&sector=1
600160,巨化股份,巨化股份：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-20/1204666960.PDF,https://www.jianweidata.com/Home/FilingDetail?key=S5Dt7BIPGjXsxDwkl9/IXJ45sCF0Hh8jp+a4/t8vzFdfx75xWw4GsQ==&sector=1
002269,美邦服饰,美邦服饰：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-27/1204802641.PDF,https://www.jianweidata.com/Home/FilingDetail?key=qt5MyWgzvkQ9gKsHc4JSvECgCh8t3cnw0FGJtWooa/fthps1mAWF6A==&sector=1
002042,华孚时尚,华孚时尚：2017年度公司社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-26/1204790619.PDF,https://www.jianweidata.com/Home/FilingDetail?key=P3Z9MKLvpgq7XS/mLL3/9Bzanb0JUMK1N8sjmLkElAAprKBC96AFcg==&sector=1
600815,厦工股份,厦工股份：2017年度社会责任报告,http://www.cninfo.com.cn/finalpage/2018-04-26/1204791822.PDF,https://www.jianweidata.com/Home/FilingDetail?key=4IA9pqFk324abl3HoZ26F0GMAtgJfVTK5bLScYRqSLY1RNkfLi71wg==&sector=1
